city_code,community_id,merchant_count,anchor_count,anchor_merchants
shanghai,454,6,3,0082381|0089116|0143144
shanghai,455,6,3,0048978|0043960|0043961
shanghai,456,6,3,0236886|0044543|0128925
shanghai,457,6,3,0049564|0106971|0188293
shanghai,458,6,3,0049628|0068183|0049591
shanghai,459,6,3,0050578|0154417|0184037
shanghai,460,6,3,0051193|0051176|0051192
shanghai,461,6,3,0051732|0051731|0051730
shanghai,462,6,3,0054080|0054110|0054106
shanghai,463,6,3,0059233|0059229|0059237
shanghai,464,6,3,0089390|0089770|0096279
shanghai,465,6,3,0065046|0232000|0096591
shanghai,466,6,3,0067514|0067481|0067479
shanghai,467,6,3,0132352|0082097|0082107
shanghai,468,6,3,0089481|0089098|0166178
shanghai,469,6,3,0079858|0079841|0079897
shanghai,470,6,3,0171385|0171386|0082446
shanghai,471,6,3,0097824|0089485|0219952
shanghai,472,6,3,0089046|0234700|0132722
shanghai,473,6,3,0090158|0090144|0089966
shanghai,474,6,3,0091097|0143481|0143480
shanghai,475,6,3,0105053|0112413|0148766
shanghai,476,6,3,0128936|0096422|0096911
shanghai,477,6,3,0102599|0102586|0102577
shanghai,478,6,3,0104166|0104160|0104158
shanghai,479,6,3,0106065|0106074|0106072
shanghai,480,6,3,0170719|0115796|0170722
shanghai,481,6,3,0116107|0116100|0116091
shanghai,482,6,3,0116176|0116171|0116181
shanghai,483,6,3,0234529|0234527|0234525
shanghai,484,6,3,0127089|0124772|0125078
shanghai,485,6,3,0151388|0151399|0151397
shanghai,486,6,3,0155374|0155376|0155370
shanghai,487,5,3,0000623|0000602|0000592
shanghai,488,5,3,0002806|0002808|0002810
shanghai,489,5,3,0002835|0002827|0002839
shanghai,490,5,3,0003488|0003475|0003476
shanghai,491,5,3,0129980|0007319|0127634
shanghai,492,5,3,0064560|0145651|0157233
shanghai,493,5,3,0019753|0157263|0008062
shanghai,494,5,3,0018363|0017916|0008087
shanghai,495,5,3,0109574|0196401|0110881
shanghai,496,5,3,0014564|0089277|0014568
shanghai,497,5,3,0015760|0015758|0015759
shanghai,498,5,3,0015894|0041506|0060422
shanghai,499,5,3,0016373|0016376|0016374
shanghai,500,5,3,0153507|0131479|0131481
shanghai,501,5,3,0017782|0143096|0017775
shanghai,502,5,3,0148846|0081301|0147954
shanghai,503,5,3,0019863|0064548|0018010
shanghai,504,5,3,0018195|0157285|0157286
shanghai,505,5,3,0018221|0020145|0018355
shanghai,506,5,3,0182159|0069832|0018240
shanghai,507,5,3,0018291|0127023|0083479
shanghai,508,5,3,0034994|0018352|0034992
shanghai,509,5,3,0018388|0019972|0096827
shanghai,510,5,3,0083484|0082323|0149860
shanghai,511,5,3,0069812|0089217|0019460
shanghai,512,5,3,0019745|0035863|0068209
shanghai,513,5,3,0096937|0019822|0232058
shanghai,514,5,3,0019874|0097291|0232041
shanghai,515,5,3,0109576|0020404|0192955
shanghai,516,5,3,0020778|0020761|0020808
shanghai,517,5,3,0020981|0020987|0132662
shanghai,518,5,3,0021578|0021575|0133723
shanghai,519,5,3,0023148|0023146|0023134
shanghai,520,5,3,0023466|0023478|0023481
shanghai,521,5,3,0025235|0025211|0025204
shanghai,522,5,3,0027933|0027922|0027940
